2019-07-28 05:07:56,"b'RT @WWEJoeAnoaiAka: Roman Reigns &amp; Kevin Ovens attack Shane McMahon , Elias and MCNTYRE on #SDLive #WWE #WWEUniverse #RomanEmpire \n\n#RomanR\xe2\x80\xa6'"
2019-07-28 05:07:53,b'RT @WWEMaverick: On the hunt for @RonKillings in Nashville TN\n\n#WWE @WWE #SMACKVILLE #Nashville #Maverick247 https://t.co/4fGDnCqg3L'
2019-07-28 05:07:18,b'RT @RonKillings: Layin Low in #NashDown #WWE #raw #smackdown #thatzendurance #dancebreak #rtruth #ronkillings #24/7title #48/7champ https:/\xe2\x80\xa6'
2019-07-28 05:07:10,"b""Don't miss your chance to win a VIP trip for two to #SummerSlam and see your favorite #WWE Superstars like BeckyLyn\xe2\x80\xa6 https://t.co/NdlOZQ6w2i"""
2019-07-28 05:07:04,b'RT @TheRREmpire_: The Big Dog @WWERomanReigns\n at the Hobbs &amp; Shaw Press Junket in Hawaii\n\xf0\x9f\x94\xa5#romanreigns #romanempire #believeinthefight #ww\xe2\x80\xa6'
2019-07-28 05:06:59,"b""RT @WWE: Don't miss your chance to win a VIP trip for two to #SummerSlam and see your favorite #WWE Superstars like @BeckyLynchWWE.   Take\xe2\x80\xa6"""
2019-07-28 05:06:58,b'RT @WWEMaverick: On the hunt for @RonKillings in Nashville TN\n\n#WWE @WWE #SMACKVILLE #Nashville #Maverick247 https://t.co/4fGDnCqg3L'
2019-07-28 05:06:47,"b""RT @WWE: Don't miss your chance to win a VIP trip for two to #SummerSlam and see your favorite #WWE Superstars like @BeckyLynchWWE.   Take\xe2\x80\xa6"""
2019-07-28 05:06:32,"b""RT @SlicedWrestling: Update\n\nI'm Being Told By My High Level Source In #WWE That The Segments Were Taped For #RAW &amp; #SDLive This Week. I'm\xe2\x80\xa6"""
2019-07-28 05:06:20,b'RT @WWEMaverick: On the hunt for @RonKillings in Nashville TN\n\n#WWE @WWE #SMACKVILLE #Nashville #Maverick247 https://t.co/4fGDnCqg3L'
2019-07-28 05:06:15,"b""WWE News: John Cena &amp; his girlfriend Shay Shariatzadeh couldn't keep their hands off each other during a date\xe2\x80\xa6 https://t.co/k3c0IXDjEA"""
2019-07-28 05:05:59,"b'RT @Crythulhu: If you turn off the lights and say \xe2\x80\x9cKevin Owens\xe2\x80\x9d three times out loud, he appears behind you and gives you a stunner just as\xe2\x80\xa6'"
2019-07-28 05:05:35,b'RT @WWEMaverick: On the hunt for @RonKillings in Nashville TN\n\n#WWE @WWE #SMACKVILLE #Nashville #Maverick247 https://t.co/4fGDnCqg3L'
2019-07-28 05:05:22,"b""RT @WWE: Don't miss your chance to win a VIP trip for two to #SummerSlam and see your favorite #WWE Superstars like @BeckyLynchWWE.   Take\xe2\x80\xa6"""
2019-07-28 05:05:15,b'RT @RealMikeBennett: Daddy-Daughter Day #dadlife #themoon #wwe @wwe https://t.co/OhWy2BLdRt'
2019-07-28 05:05:14,b'RT @WWEMaverick: On the hunt for @RonKillings in Nashville TN\n\n#WWE @WWE #SMACKVILLE #Nashville #Maverick247 https://t.co/4fGDnCqg3L'
2019-07-28 05:05:09,"b'#WWE House Show Results From Oklahoma City, Oklahoma 7/27/19 https://t.co/tIauL7z8Zp https://t.co/48mh4yCwnP'"
2019-07-28 05:04:55,"b""RT @WWE: Don't miss your chance to win a VIP trip for two to #SummerSlam and see your favorite #WWE Superstars like @BeckyLynchWWE.   Take\xe2\x80\xa6"""
2019-07-28 05:04:47,b'RT @RonKillings: Layin Low in #NashDown #WWE #raw #smackdown #thatzendurance #dancebreak #rtruth #ronkillings #24/7title #48/7champ https:/\xe2\x80\xa6'
2019-07-28 05:04:32,"b""RT @PodcastArmchair: It's Friday so you know what that means. Another episode of the Armchair Armdrager Podcast! This week I talk about how\xe2\x80\xa6"""
2019-07-28 05:03:50,"b""RT @WWE: Don't miss your chance to win a VIP trip for two to #SummerSlam and see your favorite #WWE Superstars like @BeckyLynchWWE.   Take\xe2\x80\xa6"""
2019-07-28 05:03:35,"b""RT @WWE: Don't miss your chance to win a VIP trip for two to #SummerSlam and see your favorite #WWE Superstars like @BeckyLynchWWE.   Take\xe2\x80\xa6"""
2019-07-28 05:03:25,"b""RT @WWE: Don't miss your chance to win a VIP trip for two to #SummerSlam and see your favorite #WWE Superstars like @BeckyLynchWWE.   Take\xe2\x80\xa6"""
2019-07-28 05:03:16,b'@bybpod just met @AlexaBliss_WWE and @NikkiCrossWWE  and it made my night #wwe #permagrin https://t.co/K0etzbcEYY'
